title,watched,notes,tmdb_id
Rams,2017-01-02,Don't need much to make an affecting film. Very sad.,336222
Rosemary's Baby,2017-01-04,Hail Adrian! Cracking film - loved the way it took it's time.,805
Amadeus,2017-01-05,"Impressive Oscar fair, but didn't really do it for me.",279
Terms of Endearment,2017-01-07,"Proper, interesting characters, superbly acted. ",11050
Ace in the Hole,2017-01-07,"Kirk Douglas centre stage - where he likes to be, but good parable relevant as now as ever.",25364
10 Cloverfield Lane,2017-01-07,Decent bit of suspense. End felt a bit superfluous.,333371
Out of Sight,2017-01-08,"Enjoyable enough - thing about being cool, it's not cool to be cool. This was abit too cool.",1389
The Hospital,2017-01-12,Manic seventies black comedy.,32082
Eyes Without a Face,2017-01-14,Very odd with strangely stylish bits - it is French after all.,31417
The Thin Red Line,2017-01-14,Entrancing visuals and strong performances in an unconventional war movie.,8741
The Wicker Man,2017-01-15,"Bit Groovy, bit trippy, bit funny, bit creepy. Wish I'd seen it years ago.",9708
Bull Durham,2017-01-16,"Sports films need chemistry, as the formula is often the same. This one had it",287
Coach Carter,2017-01-17,"Plenty of the usual sports cliches, elevated by Samuel L Jackson and a slightly unconventional angle.",7214
Horns,2017-01-21,"Started well, was fun and different, got gradually more clunky.",149509
Eye in the Sky,2017-01-21,Superbly tense throughout and through-provoking. Proper thriller.,333352
Trumbo,2017-01-22,"Little ponderous at times, amused that Helen Mirren obviously gave up on the accent, enough there to keep me interested. ",294016
Blue Jasmine,2017-01-23,"Rare treat of caring about all the characters, so well written and acted. ",160588
Another Earth,2017-01-24,"Claustrophobic, tense, atmospheric and strangely compelling. ",55420
Only lovers left alive,2017-01-25,Languid and cool with great music and a beautiful angle.,152603
Dallas buyers club,2017-01-28,"Star performances, maybe a bit too front and centre, for my taste - but still good. ",152532
A Bigger Splash,2017-01-29,Thoughtful character piece with a dramatic twist. Nicely done all round. ,324807
Nightcrawler,2017-01-30,Fantastic portrayal of a coolly ruthless character. ,242582
The Program,2017-02-01,"Comically huge jumps in the story, and tendency to being cartoonish. ",271736
Ten Metre Tower,2017-02-02,Simple Idea. Great Fun,380592
Youth,2017-02-04,"Couldn't tell you why I liked it, but thoroughly enjoyed it",310593
Moneyball,2017-02-05,"In a stats mood at the mo, so watching this again.",60308
