title,author_1,date_finished,notes,category,amazon_link
Beware wet paint / designs by Alan Fletcher,Alan Fletcher,2018-01-08,"Lovely work, and a timely book to rekindle my interest in design and illustration. Feel like I've lost my mojo somewhat, and enjoying great work like this is really helpful.",Design,http://amzn.to/2AFJcVp
Concrete,Leonard Koren,2018-01-15,"One person's collection of interesting concrete structures, couldn't see much organisation beyond that.",Architecture,http://amzn.to/2CMRKzN
A Mindfulness Guide for the Frazzled,Ruby Wax,2018-01-20,"An entertaing, no shit guide to taking care of your mind. ",Applied Psychology,
Sapiens,Yuval Noah Harari,2018-01-24,"I keep (probably erroneously) summarising some of the key points from this book in discussions about lots of things. Probably a good sign. Really interesting, big ideas explained in a way that a dummy like me can understand.",Non-Fiction,http://amzn.to/2lSiu6I
Playing to the Gallery: Helping Contemporary Art in its Struggle to Be Understood,Grayson Perry,2018-01-26,"Like his lecturers and interviews, great fun. Also very clear and direct - words not usually associated with contemporary art. And small enough to be a frequent re-read.",Art,https://amzn.to/2GfsCmf
Moneyball,Michael Lewis,2018-02-01,Great fun - loved how it related the data and stats to the real life characters.,Non-Fiction,https://amzn.to/2G7fjRw
Forms That Work : Designing Web Forms for Usability,Caroline Jarrett,2018-03-08,Read it very quickly - loved it. Will keep dipping in and out.,Reference,https://amzn.to/2GfslzJ
The End of the Affair,Grahame Greene,2018-03-23,"Took a little while for me to get into it, and was made easier when the plot moved along a little.  Looked for a while like it was going to be a simple mystery about who was doing what, but got more into the relationships and internal struggles of the protagonists. WHich was more satisfying than that sounds.",Fiction,https://amzn.to/2G8B17s
The Biggest Game in Town,Al Alvarez,2018-04-13,Entertaining trawl through the world of Poker - which I suspect has changed quite a bit since it was written.,Non-Fiction,https://amzn.to/2LYgpC2
Never use futura,Douglas Thomas,2018-07-20,"Lovely examination, exploration and eplanation of a typeface. Great journey through how it was made, why it was made, how it was and is used and a myriad of cultural touchpoints in between. All clearly and engagingly written, with good illustrations. Also worth mentioning that it comes as a nicely portable pleasure object.",Design,https://amzn.to/2NQYNZ5
Raw Concrete: The Beauty of Brutalism ,Barnabus Calder,2018-06-10,"Recommending to everyone I know. Such a meaty, interesting book. Nominally the author's personal tour of Brutalist arhcitecture it folds in so many interesting and intruiging things alongside his personal response to the features buildings. Placing the Brutalist examples in their own contexts makes for a great understanding of how these, and all buildings come about against cultural, economic and social backgrounds. He also manages to throw in some great insight into the personalities and processes involved in the creation of these great projects.
Really rekindled my dormat interest in Architecture, and allied with great footnotes, has set me on the path to read more.",Architecture,https://amzn.to/2OlFTdX
How Not To Be a Boy,Robert Webb,2018-06-25,"Funny, and at times ponder worthy memoirs. ",Autobiography,https://amzn.to/2MCMPT5
How to Read a Building (Collins Need to Know?) ,Timothy Brittain-Catlin ,2018-06-12,Good run through architectural history with plenty of suggested jump off points to other books.,Architecture,https://amzn.to/2v9BfHi
The Old Ways: A Journey on Foot,Robert Macfarlane,2018-10-27,"A bit like some of the walks in the book, I found some of it tough going. A bit dense with the descriptions of landscapes and the things in it, even though it made me look things up, which is no bad thing. Enjoyed it more when it became more speculative, and was thankful of the discovery of the artist, Eric Ravilious. That bit of the book was great.",Non-Fiction,https://amzn.to/2SewJBa
How I won the Yellow Jumper,Ned Boulting,2018-10-30,"Easy read, pleasant enough. Sort of fast food of a book.",Autobiography,https://amzn.to/2DN8Bl7
Hawksmoor,Peter Ackroyd,2018-11-15,"Fascinating. Thought it was going to be more plotty, turned out not so much.",Fiction,https://amzn.to/2E22rym
The Mating Season ,P G Wodehouse,2018-12-03,Always great fun. ,Fiction,https://amzn.to/2SBKuux
How we got to now,Steven Johnson,2018-12-22,Rather enjoyable - I must have bored quite a few people with half-remembered snippets from various parts of this. Generally fascintating and very accessible.,Non-Fiction,https://amzn.to/2RmWX7X
